OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
All Households,07: PNR to Transit,6: Individual Discretionary,306.0,341.0
All Households,08: KNR to Transit,6: Individual Discretionary,4169.0,3565.0
All Households,09: TNC to Transit,6: Individual Discretionary,8.0,1553.0
All Households,01: SOV,7: Joint Maintenance,0.0,0.0
All Households,02: Shared Ride 2,7: Joint Maintenance,66057.0,0.0
All Households,03: Shared Ride 3+,7: Joint Maintenance,18626.0,0.0
All Households,04: Walk,7: Joint Maintenance,1889.0,0.0
All Households,05: Bike,7: Joint Maintenance,70.0,0.0
All Households,06: Walk to Transit,7: Joint Maintenance,1892.0,0.0
All Households,07: PNR to Transit,7: Joint Maintenance,25.0,0.0
All Households,08: KNR to Transit,7: Joint Maintenance,157.0,0.0
All Households,09: TNC to Transit,7: Joint Maintenance,0.0,0.0
All Households,01: SOV,8: Joint Discretionary,0.0,0.0
All Households,02: Shared Ride 2,8: Joint Discretionary,42232.0,0.0
All Households,03: Shared Ride 3+,8: Joint Discretionary,23530.0,0.0
All Households,04: Walk,8: Joint Discretionary,8129.0,0.0
All Households,05: Bike,8: Joint Discretionary,66.0,0.0
All Households,06: Walk to Transit,8: Joint Discretionary,1189.0,0.0
All Households,07: PNR to Transit,8: Joint Discretionary,156.0,0.0
All Households,08: KNR to Transit,8: Joint Discretionary,417.0,0.0
All Households,09: TNC to Transit,8: Joint Discretionary,0.0,0.0
All Households,01: SOV,9: Work-based,57877.0,60053.0
All Households,02: Shared Ride 2,9: Work-based,18543.0,18463.0
All Households,03: Shared Ride 3+,9: Work-based,6266.0,6289.0
All Households,04: Walk,9: Work-based,27361.0,28539.0
All Households,05: Bike,9: Work-based,929.0,1012.0
All Households,06: Walk to Transit,9: Work-based,533.0,577.0
All Households,07: PNR to Transit,9: Work-based,74.0,0.0
All Households,08: KNR to Transit,9: Work-based,220.0,0.0
All Households,09: TNC to Transit,9: Work-based,14.0,0.0
All Households,01: SOV,Total,1583252.0,1621437.0
All Households,02: Shared Ride 2,Total,1068966.0,1090832.0
All Households,03: Shared Ride 3+,Total,1174280.0,1055775.0
All Households,04: Walk,Total,271671.0,261270.0
All Households,05: Bike,Total,56475.0,43911.0
